experiment,seeds,overall_pass_mean,overall_pass_std,node_deviation_pct_mean,node_deviation_pct_std,density_deviation_pct_mean,density_deviation_pct_std,aspl_deviation_pct_mean,aspl_deviation_pct_std,n_components_mean,n_components_std,target_edge_recall_pct_mean,target_edge_recall_pct_std,target_edge_precision_pct_mean,target_edge_precision_pct_std,attach_recall_pct_mean,attach_recall_pct_std,attach_precision_pct_mean,attach_precision_pct_std,degree_emd_mean,degree_emd_std,new_new_ratio_gen_mean,new_new_ratio_gen_std,inference_time_s_mean,inference_time_s_std
ref_ground_truth,1,0.9321739130434784,0.0,0.0,0.0,10.976466405302896,0.0,7.122480280935726,0.0,1.3130434782608695,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.2315725301198584,0.0,6.403647484662742e-08,0.0
stage2_rule_baseline,3,0.881159420289855,0.039,0.0,0.0,14.658474340146924,2.813,7.892608529784571,1.767,1.0382608695652171,0.0,58.30076476778936,0.0,56.41718227065915,1.466,41.60088071732139,2.889,34.636651483091725,3.35,0.3833302362316119,0.025,0.1796651585250657,0.028,0.0064702003407528,0.001
stage2_search_baseline,3,0.9739130434782608,0.002,0.0,0.0,8.230699976256451,0.94,2.3231855941742943,0.201,1.0382608695652171,0.0,58.30076476778936,0.0,59.35760563575531,0.492,43.065096036971966,1.208,40.6909323412491,0.82,0.3590044237690956,0.008,0.1753716436389593,0.011,0.1241274635822417,0.002
stage2_ar_gnn,3,0.8707246376811595,0.016,0.0,0.0,8.6352549399541,2.993,11.105237480634356,1.147,1.015072463768116,0.005,58.30076476778936,0.0,59.78584158583394,1.93,66.14890427502299,2.318,71.42603101885294,2.056,0.2204830052215095,0.006,0.2209884050456961,0.039,0.0634938172076869,0.002
stage2_ar_gnn_greedy,3,0.6191304347826087,0.0,0.0,0.0,5.491599498017262,0.0,46.787532702133625,0.0,1.0382608695652171,0.0,58.30076476778936,0.0,63.33006699831592,0.0,47.08306105961481,0.0,80.16532983924287,0.0,0.2967307422699355,0.0,0.3530198993219473,0.0,0.0586624080350663,0.001
stage2_ar_gnn_bestof16,3,0.942608695652174,0.0,0.0,0.0,6.15250838210729,0.182,4.483928490512128,0.154,1.0023188405797103,0.002,58.30076476778936,0.0,60.44971574885787,0.154,64.25968377286837,0.113,70.90089026875917,0.17,0.2022214518714382,0.002,0.2228475023467925,0.001,1.0203169751531225,0.003
stage2_ar_gnn_bfs_order,3,0.8782608695652173,0.021,0.0,0.0,9.613841390734654,3.73,9.90320406755314,1.283,1.011014492753623,0.004,58.30076476778936,0.0,59.04162207120496,2.197,68.21299525902597,4.32,69.31379112947597,2.822,0.2224310072954978,0.016,0.2124948304752746,0.011,0.0631712294886718,0.002
stage2_ar_gnn_single_label,3,0.5449275362318841,0.137,0.0,0.0,30.38333206080429,7.474,15.93344170596348,3.682,1.0005797101449276,0.001,58.30076476778936,0.0,51.16034253592509,2.267,80.75207395342376,3.197,54.597201346922425,2.841,0.463621359255558,0.113,0.1618362023776094,0.004,0.0796050922807299,0.001
stage2_ar_gnn_greedy_order,3,0.7686956521739131,0.067,0.0,0.0,10.835170842518387,4.153,15.458676008431585,4.7,1.0156521739130435,0.007,58.30076476778936,0.0,58.94400863322098,2.768,62.061026796600025,4.723,70.1322480779872,2.775,0.2403729022367534,0.021,0.2681835652767077,0.031,0.0641855381873935,0.002
stage2_ar_gnn_no_planar,3,0.8817391304347826,0.013,0.0,0.0,9.219489832187556,3.352,10.795605104900217,0.926,1.0133333333333334,0.004,58.30076476778936,0.0,59.34388472047416,2.093,67.58680163720221,2.948,71.18882207742672,1.981,0.2201498704096248,0.012,0.218325145398764,0.04,0.0600185806287007,0.001
